#N =          J1         KA         KC         J2          E
  389         13         12          2          1   4597.568
  390         16          5         11          3   4604.542
  391         14          3         11          5   4613.012
  392         21          1         21          1   4614.343
  393         15         10          6          1   4617.094
  394         17          4         14          3   4621.328
  395         13          6          8          5   4628.892
  396          9          3          7          7   4632.719
  397          7          6          2          7   4654.535
  398         17          7         11          1   4670.086
  399         18          4         14          1   4673.966
  400         15          8          8          3   4674.618
  401          8          5          3          7   4680.014
  402         11          9          3          5   4703.744
  403         10          1          9          7   4708.027
  404         16          9          7          1   4719.937
  405         16          6         10          3   4722.374
  406         12          8          4          5   4732.234
  407         10         10          0          5   4734.937
  408         18          2         16          3   4736.511
  409         15          3         13          5   4736.657
  410         11          1         11          7   4739.934
  411          9          4          6          7   4761.047
  412         14          4         10          5   4772.071
  413         19          2         18          3   4803.141
  414         16          1         15          5   4807.469
  415         20          0         20          3   4823.329
  416         13          7          7          5   4823.694
  417         17          1         17          5   4831.382
  418         19          4         16          1   4838.844
  419         13         11          3          3   4844.681
  420          8          6          2          7   4849.863
  421         14         10          4          3   4857.937
  422          7          7          1          7   4858.860
  423         10          2          8          7   4859.197
  424         17          5         13          3   4860.779
  425         16          7          9          3   4867.973
  426         14          5          9          5   4882.858
  427         18          5         13          1   4888.869
  428         17          8         10          1   4889.847
  429         12         12          0          3   4890.561
  430          9          5          5          7   4901.353
  431         15          9          7          3   4932.737
  432         14         12          2          1   4937.951
  433         11          2         10          7   4942.233
  434         15         11          5          1   4943.696
  435         20          2         18          1   4950.770
  436         15          4         12          5   4964.807
  437         10          3          7          7   4965.313
  438         12          0         12          7   4972.484
  439         13         13          1          1   4991.162
  440         12          9          3          5   4996.633
  441         14          6          8          5   5000.877
  442         11         10          2          5   5002.026
  443         16         10          6          1   5010.436
  444         21          2         20          1   5014.712
  445         18          3         15          3   5024.949
  446         22          0         22          1   5032.442
  447         18          6         12          1   5043.791
  448         10          4          6          7   5045.251
  449         13          8          6          5   5052.079
  450          8          7          1          7   5053.301
  451          9          6          4          7   5070.487
  452         17          6         12          3   5074.429
  453         16          8          8          3   5075.007
  454         16          2         14          5   5083.159
  455         11          3          9          7   5118.638
  456         19          5         15          1   5118.770
