#N =          J1         KA         KC         J2          E
  464         20          2         19          3   5203.916
  465         13         12          1          3   5206.098
  466         21          0         21          3   5222.873
  467         13          0         13          7   5223.591
  468         15         10          5          3   5225.626
  469         11          3          8          7   5246.828
  470          9          7          2          7   5272.746
  471         20          4         17          1   5279.606
  472         15          5         10          5   5280.313
  473         18          5         14          3   5284.671
  474          8          8          1          7   5289.183
  475         12         10          3          5   5294.003
  476         15         12          3          1   5303.313
  477         17          7         10          3   5309.246
  478         13          9          4          5   5314.831
  479         10          6          5          7   5316.781
  480         16          9          8          3   5328.334
  481         14         13          2          1   5330.925
  482         16          4         13          5   5331.437
  483         11         11          0          5   5332.545
  484         16         11          6          1   5335.395
  485         11          4          7          7   5336.604
  486         18          8         11          1   5341.611
  487         19          5         14          1   5358.935
  488         21          2         19          1   5389.965
  489         12          3         10          7   5390.596
  490         15          6          9          5   5393.815
  491         14          8          7          5   5397.901
  492         17         10          7          1   5429.678
  493         11          5          6          7   5437.490
  494         19          3         16          3   5447.310
  495         17          2         15          5   5448.258
  496         22          2         21          1   5452.591
  497         13          1         12          7   5465.525
  498         23          0         23          1   5469.096
  499         14          1         14          7   5493.252
  500          1          0          1          9   5500.569
  501         17          8          9          3   5502.943
  502          9          8          1          7   5507.835
  503         18          6         13          3   5515.732
  504         18          2         17          5   5516.270
  505         10          7          4          7   5517.439
  506          1          1          0          9   5519.172
  507         19          0         19          5   5537.695
  508         19          6         13          1   5542.544
  509         14         12          3          3   5546.481
  510         16          5         12          5   5551.310
  511         15         11          4          3   5552.226
  512         15          7          8          5   5554.009
  513          2          1          2          9   5556.283
  514         20          3         18          3   5559.301
  515         12          4          9          7   5561.429
  516         20          5         16          1   5579.954
  517         18          9         10          1   5590.343
  518         11          6          5          7   5590.611
  519         13         13          0          3   5599.692
  520         13         10          3          5   5611.032
  521          2          2          1          9   5612.092
  522          3          0          3          9   5613.660
  523         16         10          7          3   5618.960
  524         21          1         20          3   5623.242
  525         12         11          2          5   5623.857
  526         22          1         22          3   5640.972
  527          3          1          2          9   5650.368
  528         14          9          6          5   5658.563
  529         19          7         12          1   5679.386
  530         13          2         11          7   5680.747
  531          3          2          1          9   5689.398
  532         16         12          5          1   5693.794
  533         15         13          2          1   5695.519
  534          4          1          4          9   5701.764
  535         17          3         14          5   5716.320
  536         12          5          8          7   5719.132
  537         19          4         15          3   5726.300
  538         18          7         12          3   5729.560
  539         21          3         18          1   5738.852
  540         16          6         11          5   5749.780
  541         17          9          8          3   5750.692
  542         10          8          3          7   5751.440
  543         17         11          6          1   5752.628
  544         14          2         13          7   5755.037
  545         14         14          1          1   5756.055
  546          3          3          0          9   5764.307
  547         15          8          7          5   5770.632
  548          9          9          0          7   5775.268
  549          4          2          3          9   5777.690
  550         15          0         15          7   5781.467
  551         11          7          4          7   5787.761
  552          5          0          5          9   5802.559
  553         18          3         16          5   5831.872
  554         19          8         11          1   5840.987
  555         22          3         20          1   5847.698
  556         20          6         15          1   5849.920
  557          4          3          2          9   5861.355
  558         13          3         10          7   5862.430
  559         18         10          9          1   5875.031
  560          5          1          4          9   5877.440
  561         12          6          7          7   5887.095
  562         20          4         17          3   5888.136
  563         19          1         18          5   5898.495
  564         23          1         22          1   5909.022
  565         15         12          3          3   5911.843
  566         20          1         20          5   5918.683
  567         24          1         24          1   5924.306
  568          6          1          6          9   5924.667
  569          5          2          3          9   5924.868
  570         14         13          2          3   5939.455
  571         13         11          2          5   5940.035
  572         16         11          6          3   5943.925
  573         16          7         10          5   5947.665
  574         18          8         11          3   5950.141
